,Goals,HomeTeam,ShotsFor,ShotsAgainst,ShotsOnTargetFor,ShotsOnTargetAgainst,FoulsFor,FoulsAgainst,CornersFor,CornersAgainst,YellowsFor,YellowsAgainst,RedsFor,RedsAgainst
144,4,1,17,8,10,5,12,18,6,2,4,5,0,0
145,2,0,8,17,5,10,18,12,2,6,5,4,0,0
146,2,1,11,10,3,4,7,16,4,7,1,3,0,0
147,1,0,10,11,4,3,16,7,7,4,3,1,0,0
148,2,1,16,16,4,5,9,15,8,9,2,2,0,0
149,1,0,16,16,5,4,15,9,9,8,2,2,0,0
150,2,1,9,11,3,3,11,11,2,4,1,3,0,0
151,0,0,11,9,3,3,11,11,4,2,3,1,0,0
152,1,1,13,6,2,2,8,20,6,4,0,5,0,0
153,0,0,6,13,2,2,20,8,4,6,5,0,0,0
154,0,1,5,9,1,1,15,14,3,4,6,4,0,0
155,0,0,9,5,1,1,14,15,4,3,4,6,0,0
156,1,1,6,13,3,4,20,15,3,8,2,4,1,0
157,2,0,13,6,4,3,15,20,8,3,4,2,0,1
158,4,1,15,16,8,4,10,12,7,10,5,3,2,0
159,0,0,16,15,4,8,12,10,10,7,3,5,0,2
160,1,1,6,9,2,4,12,17,2,7,2,8,0,1
161,0,0,9,6,4,2,17,12,7,2,8,2,1,0
162,0,1,5,9,0,4,16,14,2,2,5,0,0,0
163,3,0,9,5,4,0,14,16,2,2,0,5,0,0
164,1,1,15,11,4,3,18,12,2,4,2,1,0,1
165,1,0,11,15,3,4,12,18,4,2,1,2,1,0
166,2,1,5,7,2,3,17,19,2,3,1,4,0,0
167,0,0,7,5,3,2,19,17,3,2,4,1,0,0
168,1,1,5,13,1,4,20,14,4,4,2,2,0,1
169,0,0,13,5,4,1,14,20,4,4,2,2,1,0
170,2,1,12,14,5,2,20,5,4,6,5,1,0,0
171,0,0,14,12,2,5,5,20,6,4,1,5,0,0
172,3,1,18,12,6,5,23,12,11,2,4,2,0,0
173,1,0,12,18,5,6,12,23,2,11,2,4,0,0
174,0,1,18,11,3,5,11,14,7,3,2,1,0,0
175,1,0,11,18,5,3,14,11,3,7,1,2,0,0
176,1,1,19,9,7,3,12,9,3,4,2,3,0,0
177,1,0,9,19,3,7,9,12,4,3,3,2,0,0
178,1,1,19,12,5,5,10,11,9,1,2,2,0,0
179,0,0,12,19,5,5,11,10,1,9,2,2,0,0
180,4,1,19,12,8,3,12,13,5,4,2,2,0,0
181,1,0,12,19,3,8,13,12,4,5,2,2,0,0
182,1,1,9,9,3,1,19,13,4,5,4,1,0,0
183,0,0,9,9,1,3,13,19,5,4,1,4,0,0
184,2,1,8,13,4,3,13,13,4,3,1,2,0,0
185,0,0,13,8,3,4,13,13,3,4,2,1,0,0
186,2,1,9,9,2,2,14,9,7,7,2,2,0,0
187,0,0,9,9,2,2,9,14,7,7,2,2,0,0
188,0,1,9,9,1,4,20,12,3,7,5,2,1,0
189,1,0,9,9,4,1,12,20,7,3,2,5,0,1
190,1,1,13,12,3,0,13,8,4,2,3,4,0,0
191,0,0,12,13,0,3,8,13,2,4,4,3,0,0
192,0,1,7,14,3,3,10,26,4,7,2,3,0,0
193,1,0,14,7,3,3,26,10,7,4,3,2,0,0
194,2,1,15,9,8,4,13,18,5,0,2,3,0,0
195,0,0,9,15,4,8,18,13,0,5,3,2,0,0
196,3,1,21,2,13,1,8,6,6,1,1,1,0,1
197,1,0,2,21,1,13,6,8,1,6,1,1,1,0
198,1,1,11,9,3,3,23,16,4,1,3,3,0,0
199,1,0,9,11,3,3,16,23,1,4,3,3,0,0
200,5,1,18,9,9,1,9,14,6,3,0,3,0,0
201,1,0,9,18,1,9,14,9,3,6,3,0,0,0
202,1,1,17,13,5,4,15,12,9,5,3,4,0,0
203,2,0,13,17,4,5,12,15,5,9,4,3,0,0
204,1,1,10,10,3,1,12,17,6,1,6,3,0,0
205,1,0,10,10,1,3,17,12,1,6,3,6,0,0
206,3,1,7,12,5,5,13,20,2,5,0,1,0,0
207,0,0,12,7,5,5,20,13,5,2,1,0,0,0
208,2,1,11,18,7,5,16,17,5,10,6,1,0,0
209,1,0,18,11,5,7,17,16,10,5,1,6,0,0
210,5,1,22,5,11,3,12,12,8,3,1,5,0,0
211,0,0,5,22,3,11,12,12,3,8,5,1,0,0
212,2,1,25,9,8,2,11,12,8,3,0,3,0,0
213,1,0,9,25,2,8,12,11,3,8,3,0,0,0
214,2,1,11,12,3,4,9,10,5,3,1,5,0,0
215,2,0,12,11,4,3,10,9,3,5,5,1,0,0
216,3,1,8,10,3,2,22,11,2,3,5,5,0,0
217,1,0,10,8,2,3,11,22,3,2,5,5,0,0
218,1,1,13,11,4,4,20,14,5,5,0,1,0,0
219,2,0,11,13,4,4,14,20,5,5,1,0,0,0
220,3,1,9,9,3,6,9,13,2,3,1,6,0,0
221,1,0,9,9,6,3,13,9,3,2,6,1,0,0
222,1,1,11,14,4,5,13,16,6,3,4,3,0,0
223,1,0,14,11,5,4,16,13,3,6,3,4,0,0
224,0,1,22,13,7,3,11,17,9,4,2,4,0,0
225,0,0,13,22,3,7,17,11,4,9,4,2,0,0
226,3,1,12,14,6,1,15,20,2,6,5,4,0,0
227,0,0,14,12,1,6,20,15,6,2,4,5,0,0
228,0,1,11,12,7,2,10,8,8,10,2,0,0,0
229,0,0,12,11,2,7,8,10,10,8,0,2,0,0
230,4,1,19,11,6,3,13,17,5,1,4,2,0,0
231,2,0,11,19,3,6,17,13,1,5,2,4,0,0
232,0,1,6,9,2,5,6,19,4,4,3,3,0,0
233,1,0,9,6,5,2,19,6,4,4,3,3,0,0
234,1,1,12,7,5,4,16,20,4,2,5,2,0,0
235,2,0,7,12,4,5,20,16,2,4,2,5,0,0
236,1,1,5,9,3,5,15,19,4,5,0,2,0,0
